 l/p | Location / People - Description
 +/+ |  / Abolhassan Banisadr - Iranian president Abolhassan Banisadr is deposed.
 -/- | For Christ, a Christian charismatic organization, /  - Couples For Christ, a Christian charismatic organization, is established in the Philippines.
 -/+ | the FBI section / Morris Edwin Robert,Georgia Federal Building - Morris Edwin Robert, armed with a machine gun, holds hostages in the FBI section at the Atlanta, Georgia Federal Building. After 3 hours the hostages are rescued and Robert is killed in a shootout with Federal Agents.
 +/+ |  / Eddie Nash - The Wonderland Gang is brutally murdered in a massacre involving Eddie Nash.
 +/+ | Liverpool, UK /  - The Toxteth riots in Liverpool, UK start after a mob saves a youth from being arrested. Shortly afterward, the Chapeltown riots in Leeds start after increased racial tension.
 +/+ | the United States / President Ronald Reagan,Sandra Day O'Connor,Supreme Court - President Ronald Reagan nominates the first woman, Sandra Day O'Connor, to the Supreme Court of the United States.
 -/+ | with a Mediterranean fruit fly infestation / California Governor Jerry Brown - California Governor Jerry Brown, faced with a Mediterranean fruit fly infestation, chooses to delay the aerial spraying of malathion, in favor of continuing ground-based eradication efforts.
 +/- | the Long Kesh Internment Camp / Republican Joe McDonnell,Long Kesh Internment Camp - Irish Republican Joe McDonnell dies at the Long Kesh Internment Camp after a 61-day hunger strike.
 +/+ | Malaysia / Mahathir bin Mohamad,4th Prime Minister - Mahathir bin Mohamad becomes the 4th Prime Minister of Malaysia.
 +/- | the Hyatt Regency Hotel / Hyatt Regency,Hyatt Regency Hotel,Kansas City - Hyatt Regency walkway collapse: Two skywalks filled with people at the Hyatt Regency Hotel in Kansas City, Missouri collapse into a crowded atrium lobby, killing 114.
 -/- | PLO associated groups /  - Israeli aircraft bomb Beirut, destroying multi-story apartment blocks containing the offices of PLO associated groups, killing approximately 300 civilians and resulting in worldwide condemnation and a U.S. embargo on the export of aircraft to Israel.[1]
 +/+ | Bolivia / General Luis Gracia Meza,Lidia Gayler - In Bolivia, General Luis Gracia Meza leads a bloody coup d'état against the elected government of Lidia Gayler.
 +/- | New Zealand / New Zealand - The 1981 Springbok Tour commences in New Zealand, amid controversy over the support of apartheid.
 +/- | Chapultepec Zoo in Mexico City, the first panda / Tohui The Panda,Chapultepec Zoo,Mexico City - Tohui The Panda is born in Chapultepec Zoo in Mexico City, the first panda to ever be born and survive in captivity outside of China.
 -/+ | a Sears store / Adam Walsh - Adam Walsh, 6, is kidnapped from a Sears store in Hollywood, Florida.
 +/+ | Wales / Lady Diana Spencer - Lady Diana Spencer marries Charles, Prince of Wales.
 +/+ | the United States / Music Television - MTV (Music Television) is launched on cable television in the United States.
 +/+ |  / Professional Air Traffic Controllers Organization - The Professional Air Traffic Controllers Organization (PATCO) goes on strike.
 +/+ |  / Ronald Reagan - Ronald Reagan fires 11,359 striking air-traffic controllers who ignored his order for them to return to work.
 -/+ |  / Washington Star - The Washington Star ceases publication after 128 years.
 +/+ | Cleveland s Municipal Stadium / Major League Baseball,'s  - Major League Baseball resumes from the strike with the All-Star Game in Cleveland's Municipal Stadium.
 +/- | Vero Beach, Florida / Hollywood   ,Vero Beach - Exactly 2 weeks after his disappearance, the severed head of 6-year-old Hollywood, Florida native Adam Walsh is found in a canal in Vero Beach, Florida; to this day the rest of the boy's body has never been recovered.
 +/- | the United States / MHz Intel - The original Model 5150 IBM PC (with a 4.77 MHz Intel 8088 processor) is released in the United States at a base price of $1,565.
 -/+ | Sidra The American jets destroy the Libyan fighters / Muammar al-Gaddafi - Gulf of Sidra incident (1981): Libyan leader Muammar al-Gaddafi sends 2 Sukhoi Su-22 fighter jets to intercept 2 U.S. fighters over the Gulf of Sidra. The American jets destroy the Libyan fighters.
 +/+ |  / U.S. President Ronald Reagan,U.S. Supreme Court Justice,Sandra Day O - U.S. President Ronald Reagan appoints the first female U.S. Supreme Court Justice, Sandra Day O'Connor.
 +/+ | Manhattan 8 months earlier / Mark David Chapman,John Lennon - Mark David Chapman is sentenced to 20 years to life in prison, after being convicted of murdering John Lennon in Manhattan 8 months earlier.
 -/- |  /  - South African troops invade Angola.
 +/+ | Ramstein, West Germany, / U.S. Air Force,West Germany - A bomb explodes at the U.S. Air Force base in Ramstein, West Germany, injuring 20 people.
 +/- | lu, Czechoslovakia, / Zálu í - An explosion at a mine in Záluží, Czechoslovakia, kills 65 people.
 +/+ |  / Walter Cronkite - Walter Cronkite retired from journalism.
 +/- | New York / New York - Picasso's painting "Guernica" is moved from New York to Madrid.
 +/- | San Bernardino, California, / Swing Auditorium,San Bernardino - A small plane crashes into the Swing Auditorium in San Bernardino, California, damaging the venue beyond repair.
 -/+ | as Chairman of the Conservative Party / Margaret Thatcher,Cecil Parkinson - Margaret Thatcher appoints Cecil Parkinson as Chairman of the Conservative Party.
 +/+ | outside Washington, DC / John Bull - The John Bull becomes the oldest operable steam locomotive in the world, at 150 years old, when it operates under its own power outside Washington, DC.
 +/+ | Britain / Liberal Party Assembly,Social Democratic Party - In Britain, the Liberal Party Assembly votes for an electoral pact with the new Social Democratic Party.
 +/+ | Kansas City / Ric Flair,Dusty Rhodes,World Heavyweight Wrestling Championship,Kansas City - Ric Flair defeats Dusty Rhodes to win his first World Heavyweight Wrestling Championship in Kansas City.
 -/+ |  /  - France abolishes capital punishment.
 +/+ | New South Wales / New South Wales,Liberal Party,Legislative Assembly - The second Wranslide occurs in New South Wales, with the Wran government re-elected for a third term with an increased majority, and reducing the Liberal Party of Australia to just 14 members in the Legislative Assembly.
 -/- | Central Park, a free concert in New York in front of approximately half a million people / Central Park,New York - Simon & Garfunkel perform The Concert in Central Park, a free concert in New York in front of approximately half a million people.
 -/- |  / Sobral Santos,Amazon River - The Brazilian river boat Sobral Santos capsizes in the Amazon River, Óbidos, Brazil, killing at least 300.
 -/+ |  /  - Belize becomes independent.
 -/+ | the Supreme Court / Sandra Day O'Connor,U.S. Supreme Court - Sandra Day O'Connor takes her seat as the first female justice of the U.S. Supreme Court.
 +/+ | JFK Stadium in Philadelphia / Rolling Stones,JFK Stadium - The Rolling Stones begin their Tattoo You tour at JFK Stadium in Philadelphia.
 +/+ |  /  - The Boeing 767 airliner makes its first flight.
 +/- |  / Sydney Tower - The Sydney Tower first opened to the public.
 +/+ | between Paris and Lyon /  - TGV high speed rail service between Paris and Lyon, France begins.
 -/+ | Deputy Leader of the Labour Party / Denis Healey,Deputy Leader,Labour Party,Tony Benn - Denis Healey retains the post of Deputy Leader of the Labour Party, beating Tony Benn by 50.426% to 49.574%.
 -/+ | with Israel / Anwar Sadat,Islamic Jihad - Egyptian president Anwar Sadat is assassinated during a parade by army members who belong to the Egyptian Islamic Jihad organization; they opposed his negotiations with Israel.
 -/+ | for Education of Japan /  - The Ministry for Education of Japan issues the jōyō kanji.
 +/- | Chelsea Barracks in London / Provisional IRA,Chelsea Barracks - A Provisional IRA bomb at Chelsea Barracks in London kills a woman pensioner.
 -/+ | Sweden Prize in Economic Sciences in Memory of Alfred Nobel / James Tobin,Sweden Prize,Alfred Nobel - James Tobin wins the Bank of Sweden Prize in Economic Sciences in Memory of Alfred Nobel.
 +/+ | Egypt 1 / Vice President Hosni Mubarak,Anwar Sadat - Vice President Hosni Mubarak is elected President of Egypt 1 week after Anwar Sadat's assassination.
 +/+ | Hokutan /  - Gas explosions at a coal mine at Hokutan, Yūbari, Hokkaidō, Japan kill 93.
 +/+ | Greece / Andreas Papandreou,Prime Minister - Andreas Papandreou becomes Prime Minister of Greece.
 -/+ | by Hareram Sharma and Singh / Hareram Sharma,D. P. Singh - The founding congress of the Nepal Workers and Peasants Organization faction led by Hareram Sharma and D. P. Singh begins.
 -/+ | by the Alliance / Bill Pitt,Croydon North West,Liberal-S.D.P. Alliance - Liberal candidate Bill Pitt wins the Croydon North West by-election, the first election win by the Liberal-S.D.P. Alliance.
 +/- | Oxford Street, London, / Wimpy Bar,Oxford Street - An IRA bomb in a Wimpy Bar in Oxford Street, London, kills a bomb disposal expert.
 -/+ |  /  - A Soviet submarine runs aground outside the Karlskrona, Sweden military base.
 +/- | Los Angeles / Los Angeles - The thrash metal band Metallica forms in Los Angeles.
 +/- | the United Kingdom / United Kingdom - Antigua and Barbuda gain independence from the United Kingdom.
 +/+ | Mauritania /  - Edict No. 81-234 abolishes slavery in Mauritania.
 +/+ |  / Space Shuttle Columbia,Joe Engle,Richard Truly - STS-2: Space Shuttle Columbia (Joe Engle, Richard Truly) lifts off for its second mission.
 -/+ | England General Synod / England General Synod - The Church of England General Synod votes to admit women to holy orders.
 +/- | Port Dover, Ontario, Canada / Port Dover - The first Friday the 13th motorcycle event is held in Port Dover, Ontario, Canada.
 -/- | on the soap opera General Hospital / General Hospital - Luke and Laura marry on the U.S. soap opera General Hospital; it is the highest-rated hour in daytime television history.
 +/- |  / COMDEX Fall,IBM PC - COMDEX Fall, IBM introduces the IBM PC. Scientific Solutions announces the first PC add-in cards.
 +/+ | Nicaragua / Ronald Reagan,National Security Decision Directive,Central Intelligence Agency - Iran-Contra scandal: Ronald Reagan signs the top secret National Security Decision Directive 17 (NSDD-17), authorizing the Central Intelligence Agency to recruit and support Contra rebels in Nicaragua.
 -/+ | by Mike Hoare / Mike Hoare,Air India - A group of mercenaries led by Mike Hoare take over Mahe airport in the Seychelles in a coup attempt. Most of the mercenaries escape by a commandeered Air India passenger jet; 6 are later arrested.
 +/+ |  / Shirley Williams,S.D.P. MP - Former cabinet minister Shirley Williams wins the Crosby by-election, becoming the first elected S.D.P. MP.
 +/- | Geneva / Cold War,Soviet Union - Cold War: In Geneva, representatives from the United States and the Soviet Union begin negotiating intermediate-range nuclear weapon reductions in Europe (the meetings end inconclusively on Thursday, December 17).
 +/- | Corsica / Yugoslavian McDonnell Douglas DC-9,Ajaccio Airport - A Yugoslavian McDonnell Douglas DC-9 crashes into a mountain while approaching Ajaccio Airport in Corsica, killing 178.
 +/- | outside South Africa / South Africa,South Africa - South Africa grants "homeland" Ciskei independence (not recognized outside South Africa).
 +/+ | Verona / James Lee Dozier,Red Brigades - American general James Lee Dozier is kidnapped in Verona by the Italian Red Brigades.
 +/+ | Whitwell, Tennessee /  - The No. 21 Mine explosion in Whitwell, Tennessee kills 13.
 +/+ |  / Arthur Scargill,National Union - Arthur Scargill becomes President-elect of the National Union of Mineworkers.
 +/+ | Brussels / North Atlantic Council - During the Ministerial Session of the North Atlantic Council in Brussels, Spain signs the Protocol of Accession to NATO.
 -/+ | Trevor Berbick / Muhammad Ali,Trevor Berbick - Boxing: Muhammad Ali loses to Trevor Berbick; this proved to be Ali's last-ever fight.
 +/- | El Salvador / El Mozote massacre,El Salvador - El Mozote massacre: In El Salvador, army units kill 900 civilians.
 +/+ | Poland / Wojciech Jaruzelski - Wojciech Jaruzelski declares martial law in Poland, to prevent the dismantling of the communist system by Solidarity.
 +/+ | Beirut, Lebanon /  - A car bomb destroys the Iraqi Embassy in Beirut, Lebanon, killing 61 people; Syrian intelligence is blamed.[clarification needed]
 +/- | West Cornwall / South-West Cornwall - The Penlee lifeboat disaster occurs off the coast of South-West Cornwall.
 -/- | for Eastern and Southern Africa PTA / Preferential Trade Area,Southern Africa - Preferential Trade Area for Eastern and Southern Africa (PTA).
 +/+ | Norfolk, Virginia / Elizabeth Jordan Carr - The first American test-tube baby, Elizabeth Jordan Carr, is born in Norfolk, Virginia.
 +/+ | Ghana / President Hilla Limann,Flight Lieutenant Jerry - A coup d'état in Ghana removes President Hilla Limann's PNP government and replaces it with the PNDC led by Flight Lieutenant Jerry Rawlings.
 -/+ | January to March /  - Heavy massive snow causes many houses and buildings to collapse in northwestern Japan; 152 are killed (from January to March).
 -/- | Saint Edward the Martyr s relics from Wareham to Shaftesbury / Saint Edward - The Millennium translation of Saint Edward the Martyr's relics from Wareham to Shaftesbury is observed in a reenactment.
 +/- | New South Wales, Australia / New South Wales - Public funding of election campaigns is introduced in New South Wales, Australia.
 +/+ | China / State Council - The State Council of the People's Republic of China lists the 4 cities (Beijing, Hangzhou, Suzhou and Guilin) as those where the protection of historical and cultural heritage, as well as natural scenery, should be treated as a priority project.
 -/+ |  /  - Cuba suffers a major outbreak of Dengue fever, with 344,203 cases. [1]
 +/+ |  / Luxor AB - Luxor AB Presents the ABC 800 computer.
 +/+ | India / Information Technology Training Institution NIIT - Information Technology Training Institution NIIT in India is established.
 +/+ |  / Kosovo Liberation Army - The Kosovo Liberation Army is formed.
 +/+ |  / Cold War - Cold War.
